text,published_at,cleaned
방금 쇼츠보고 중국인 유튜버  반응보고  왔는데 관객수보고 중국 충격받을듯 한국이 중국상대로 죽일듯이 이기려고한게 아니라  그냥 무시 느낌 날만하네ㅋㅋ 2군에다가 관객수ㅋㅋㅋ 일본이였으면 그나마 타이틀 느낌 있어서 좀많았을듯,2025-07-08T15:16:11Z,방금 쇼츠보고 중국인 유튜버 반응보고 왔는데 관객수보고 중국 충격받을듯 한국이 중국상대로 죽일듯이 이기려고한게 아니라 그냥 무시 느낌 날만하네ㅋㅋ 2군에다가 관객수ㅋㅋㅋ 일본이였으면 그나마 타이틀 느낌 있어서 좀많았을듯
근데 진짜 이동경은....개인 능력이 떨어진다..개인기는 당연히 없고.. 제치는 것도 안되는 선수고...당연히 여기 나오는 선수 대부분이 알아주는 선수급들 아니고 이제 막 시작하고 준수한 애들밖에 없겠지만 중국 상대로 경기력이 좀 많이 아쉽다.,2025-07-08T15:14:43Z,근데 진짜 이동경은개인 능력이 떨어진다개인기는 당연히 없고 제치는 것도 안되는 선수고당연히 나오는 선수 대부분이 알아주는 선수급들 아니고 이제 막 시작하고 준수한 애들밖에 없겠지만 중국 상대로 경기력이 많이 아쉽다
"주민규는 진짜 투박한데 성공률이 좋아 ㅋㅋㅋ 신기해 참 
화려함은 없는 전형적인 옛날 스타일의 타겟형 스트라이커 위치선정만 좀더 해준다면 진짜 완벽한 타겟형 스타일 ㅋㅋㅋㅋ 화이팅
양민혁이 진짜 보고 싶긴한데 , .....  이승우가 더 나이먹기 전에 무조건 홍명보는 제발좀 이승우 한번 쓰자.... 진짜 부탁이다.... 이승우 손흥민 이강인 황인범 조합 진짜 보고 싶다....",2025-07-08T15:13:50Z,주민규는 진짜 투박한데 성공률이 ㅋㅋㅋ 신기해 화려함은 없는 전형적인 옛날 스타일의 타겟형 스트라이커 위치선정만 좀더 해준다면 진짜 완벽한 타겟형 스타일 ㅋㅋㅋㅋ 화이팅 양민혁이 진짜 보고 싶긴한데 이승우가 더 나이먹기 전에 무조건 홍명보는 제발좀 이승우 한번 쓰자 진짜 부탁이다 이승우 손흥민 이강인 황인범 조합 진짜 보고 싶다
"지금 저 맴버가 좋네 ㅋㅋ 탄력있어 
이름만 유명한 선수들 빠지니 잘해",2025-07-08T15:12:30Z,지금 맴버가 좋네 ㅋㅋ 탄력있어 이름만 유명한 선수들 빠지니 잘해
"예전보다 확실히 잘해진거 같은데 한국..
근데 너무 상대 골대 앞에서 양보하려는 마음이 너무 큰듯. 이거 땜에 자꾸 멈칫멈칫 하게 되고 타이밍 뺏기고.
그냥 시원하게 때리고 세컨볼 따는게 차라리 더 나을것 같음",2025-07-08T15:12:22Z,예전보다 확실히 잘해진거 같은데 한국 근데 너무 상대 골대 양보하려는 마음이 너무 큰듯 이거 땜에 자꾸 멈칫멈칫 하게 되고 타이밍 뺏기고 그냥 시원하게 때리고 세컨볼 따는게 더 나을것 같음
국대  경기가 K리그 경기보다 관중이 없네,2025-07-08T15:03:31Z,국대 경기가 k리그 경기보다 관중이 없네
중국한테 졌뿌라 ㅎ,2025-07-08T15:01:12Z,중국한테 졌뿌라 ㅎ
김진규 박진섭 김주성 추억의이름들이다😊,2025-07-08T15:01:07Z,김진규 박진섭 김주성 추억의이름들이다
아니 우리 선수들 너무 다 잘하고 좋은데 ㅠㅠ 쇄도 하는 공격수에 대한 컷백이 대체왜 자꾸 감속을 거는 컷백이냐고 이거 진짜 유소년 교육의 문제임??????? 이런모습이 보일때마다 우리나라는 한창 멀었다라고 밖에 할수가 없는데 전부다 이러면 어떻하냐고.... 형들 다 그이상 할수 있는사람들인데 왜 대체 ㅠㅠㅠㅠㅠ 그동안 우리가 헛소리 해댄거에 대한 업보냐구.... ㅠㅠ,2025-07-08T15:00:07Z,선수들 너무 다 잘하고 좋은데 ㅠㅠ 쇄도 하는 공격수에 대한 컷백이 대체왜 자꾸 감속을 거는 컷백이냐고 이거 진짜 유소년 교육의 문제임 이런모습이 보일때마다 우리나라는 한창 멀었다라고 밖에 할수가 없는데 전부다 이러면 어떻하냐고 형들 다 그이상 할수 있는사람들인데 대체 ㅠㅠㅠㅠㅠ 그동안 우리가 헛소리 해댄거에 대한 업보냐구 ㅠㅠ
관중석이 텅빈 이유 홍명보가 잇어서 그래,2025-07-08T15:00:05Z,관중석이 텅빈 이유 홍명보가 잇어서
국대경기인데 관중석 빈거봐라ㅋㅋ,2025-07-08T14:59:19Z,국대경기인데 관중석 빈거봐라ㅋㅋ
축구 언제했음?,2025-07-08T14:58:21Z,축구 언제했음
중국한테 지면 뭐 나가죽어야지,2025-07-08T14:57:46Z,중국한테 지면 뭐 나가죽어야지
임마들은 왜 계속 축구를 몰래하노…,2025-07-08T14:55:45Z,임마들은 계속 축구를 몰래하노
18번 마음에 안드네 앞에 달라고 손짓하는거봐라,2025-07-08T14:55:20Z,18번 마음에 안드네 앞에 달라고 손짓하는거봐라
국대도 돈내고 보냐?,2025-07-08T14:54:32Z,국대도 돈내고 보냐
"상대가 중국이라서가 아니라, 진짜 선수들 기회와도 못 잡고 뻥 축구 오지네,,, 그리고 왤케 패스 보는 시야가 좁냐",2025-07-08T14:54:15Z,상대가 중국이라서가 아니라 진짜 선수들 기회와도 못 잡고 뻥 축구 오지네 왤케 패스 보는 시야가 좁냐
"안 그래도 아시안컵도 위상 낮고 수준 낮은데, 동 아시안 컵은 왜 하는 겨?",2025-07-08T14:51:16Z,안 아시안컵도 위상 낮고 수준 낮은데 동 아시안 컵은 하는 겨
CCP OUT,2025-07-08T14:48:07Z,ccp out
중국 센터백 아마추어를 세워놨냐,2025-07-08T14:46:31Z,중국 센터백 아마추어를 세워놨냐
중국 대 중국아님?,2025-07-08T14:46:13Z,중국 대 중국아님
짜장들 ㄹㅇ 못하네 저게 국대야?ㅋㅋ,2025-07-08T14:44:28Z,짜장들 ㄹㅇ 못하네 저게 국대야ㅋㅋ
중국축구가 정말 참으로 수준 낮다는 걸 느낌,2025-07-08T14:44:23Z,중국축구가 정말 참으로 수준 낮다는 걸 느낌
