text,published_at,cleaned
홍명보 감독 자리 조사 하고 물러나라 그리고 연봉수십억 뱉아내고,2025-07-08T12:55:32Z,홍명보 감독 자리 조사 하고 물러나라 연봉수십억 뱉아내고
이동경 킥력은 좋은데 하이라이트만 보는데도 플레이가 확실히 좀 아쉽네,2025-07-08T12:55:23Z,이동경 킥력은 좋은데 하이라이트만 보는데도 플레이가 확실히 아쉽네
"처음에 이동경이 골 넣는 앞 장면에서 막 뚫리길래 
하얀색이 우리 팀인줄 알고 한국 엄청 못한다 생각하고 충격 먹었는데 다행?인지 중국이었네
근데 선수들 수고했지만 아무리 더워도
중국 홈도 아닌데 상대가 중국이면 적어도 5:0으로 이겨야 하는 거 아닌가
목표가 월드컵 본선 진출이 목적인 애들한테
3:0은 진거나 다름 없다 4:0은 무승부고 5점은 넣어야 이겼다고 할 수 있지",2025-07-08T12:54:35Z,처음에 이동경이 골 넣는 앞 장면에서 막 뚫리길래 하얀색이 팀인줄 알고 한국 엄청 못한다 생각하고 충격 먹었는데 다행인지 중국이었네 근데 선수들 수고했지만 아무리 더워도 중국 홈도 아닌데 상대가 중국이면 적어도 50으로 이겨야 하는 거 아닌가 목표가 월드컵 본선 진출이 목적인 애들한테 30은 진거나 다름 없다 40은 무승부고 5점은 넣어야 이겼다고 할 수 있지
k리그 경기인줄ㅋㅋㅋㅋ,2025-07-08T12:54:00Z,k리그 경기인줄ㅋㅋㅋㅋ
이겼는 왜 이렇게 못하냐!!!,2025-07-08T12:50:04Z,이겼는 이렇게 못하냐
이죄명이  울겠네요   쎄쎄     우리북한,2025-07-08T12:49:10Z,이죄명이 울겠네요 쎄쎄 우리북한
도쿄리 첫골은 옛날에 흥민존 골 생각 나네 ㄷㄷㄷㄷ,2025-07-08T12:48:20Z,도쿄리 첫골은 옛날에 흥민존 골 생각 나네 ㄷㄷㄷㄷ
02:46에  왼쪽으로 찔러줄 수 있는 공간이 충분하다 못해 널럴한데도 굳이 템포를 멈추고 뒤로 패스를 한 다음에 왼쪽으로 패스를 하라고 제스처를 취하는건 뭐냐? 지가 직접 패스를 하고 전방으로 대쉬를 할것이지. 참 이해가 안되네.  평소에 하도 백패스가 습관인 나머지 빠른 템포로 역습 전개하는건 몸에 익숙치가 않아서 그런가? 이동경아. 왜 그러니?  이게 국내용 선수들의 한계인가?,2025-07-08T12:47:39Z,0246에 왼쪽으로 찔러줄 수 있는 공간이 충분하다 못해 널럴한데도 굳이 템포를 멈추고 뒤로 패스를 한 왼쪽으로 패스를 하라고 제스처를 취하는건 뭐냐 지가 직접 패스를 하고 전방으로 대쉬를 할것이지 이해가 안되네 평소에 하도 백패스가 습관인 나머지 빠른 템포로 역습 전개하는건 몸에 익숙치가 않아서 그런가 이동경아 이게 국내용 선수들의 한계인가
프로축구 관중이냐?,2025-07-08T12:47:04Z,프로축구 관중이냐
와 왼발감차 궤적미쳤네,2025-07-08T12:45:18Z,왼발감차 궤적미쳤네
"홍명보 만세!!! 
손흥민 국대 은퇴!!",2025-07-08T12:44:13Z,홍명보 만세 손흥민 국대 은퇴
몇시에함? 그래도 동아시안컵이라 시간대 7~8시 일텐데 어디든,2025-07-08T12:42:48Z,몇시에함 동아시안컵이라 시간대 78시 일텐데 어디든
민심은 홍명보다^^ 개듣보 비전문가 분탕에 속지 맙시다~~,2025-07-08T12:42:46Z,민심은 홍명보다 개듣보 비전문가 분탕에 속지 맙시다
중국은 짱롱도르 수상자 우레이가 없어서 골도 못 넣고 진건가? ㅋㅋ,2025-07-08T12:40:44Z,중국은 짱롱도르 수상자 우레이가 없어서 골도 못 넣고 진건가 ㅋㅋ
쎄쎄,2025-07-08T12:40:37Z,쎄쎄
문선민은 얼굴보고 골키퍼가 한골 내줄만도한데…,2025-07-08T12:40:27Z,문선민은 얼굴보고 골키퍼가 한골 내줄만도한데
"이동경 약발4정도만 됬어도
좋았을텐더 약발1이네ㅋㅋㅋ",2025-07-08T12:40:08Z,이동경 약발4정도만 됬어도 좋았을텐더 약발1이네ㅋㅋㅋ
응원해야되나?,2025-07-08T12:38:16Z,응원해야되나
한국도 뒤지게 못하네 씹,2025-07-08T12:38:14Z,한국도 뒤지게 못하네 씹
"문선민 좀 빼자 슈팅 은 개발에 슈팅,패쓰타이밍 노답",2025-07-08T12:37:39Z,문선민 빼자 슈팅 은 개발에 슈팅패쓰타이밍 노답
아니시바 하늘로 날리는건 대체..,2025-07-08T12:36:44Z,아니시바 하늘로 날리는건 대체
이승우는 2군도 못되나..,2025-07-08T12:33:39Z,이승우는 2군도 못되나
4:15 야유좀 하지마라 매국 이사찍들도 아니고 ㅉㅉ,2025-07-08T12:33:07Z,415 야유좀 매국 이사찍들도 아니고 ㅉㅉ
김문환 조현우 빼고 다 2군이네.,2025-07-08T12:32:04Z,김문환 조현우 빼고 다 2군이네
"근데 중국 얘네는 어려서 그런가 아직 상대방 때리지는 않네?  
😂😂😂",2025-07-08T12:31:29Z,근데 중국 얘네는 어려서 그런가 아직 상대방 때리지는 않네
크로스 난발,2025-07-08T12:29:32Z,크로스 난발
"주천재=주바보
장위닝=장로스",2025-07-08T12:28:55Z,주천재주바보 장위닝장로스
정몽규 홍명보 땜에 이제  동네  치킨집  망하게 생겼다,2025-07-08T12:25:20Z,정몽규 홍명보 땜에 이제 동네 치킨집 망하게 생겼다
중국한테 3점차 졸라 못햇네ㅠ,2025-07-08T12:20:28Z,중국한테 3점차 졸라 못햇네ㅠ
"선수들 수고많았고 승리를 축하드립니다.
단지 공격중 마무리가 세련되지 못해 좋은 기회를 많이 놓친 아쉬움이 있습니다.
일본전 전까지 보다 잘 다듬어 반듯이 승리할 수 있었으면 좋겠습니다.",2025-07-08T12:18:05Z,선수들 수고많았고 승리를 축하드립니다 공격중 마무리가 세련되지 못해 좋은 기회를 많이 놓친 아쉬움이 있습니다 일본전 전까지 보다 잘 다듬어 반듯이 승리할 수 있었으면 좋겠습니다
천국과 지옥은 존재하고 예수님께선 그리스도이시며 길이요 진리요 생명이십니다 예수님께선 십자가에서 인류죄를 대속하셨고 그분께선 부활이요 생명이시며 다시오십니다 회개. 예수님께선 구세주이심을 선포합니다 현금없는 사회와 CBDC  디지털화폐는 사탄이원하는 바이므로 하면 안되고 모바일신분증 현금없는버스 반대하시며 베리칩과 666표 받지 마십시요,2025-07-08T12:17:31Z,천국과 지옥은 존재하고 예수님께선 그리스도이시며 길이요 진리요 생명이십니다 예수님께선 십자가에서 인류죄를 대속하셨고 그분께선 부활이요 생명이시며 다시오십니다 회개 예수님께선 구세주이심을 선포합니다 현금없는 사회와 cbdc 디지털화폐는 사탄이원하는 바이므로 하면 안되고 모바일신분증 현금없는버스 반대하시며 베리칩과 666표 받지 마십시요
차넣지 뭔 저런 패스질이야,2025-07-08T12:15:54Z,차넣지 뭔 저런 패스질이야
뭔가 선수들이 좀 굼뜨는 느낌이 있었는데 역시 더위앞에 장사없네,2025-07-08T12:14:52Z,뭔가 선수들이 굼뜨는 느낌이 있었는데 역시 더위앞에 장사없네
8:07 새로운 대기권돌파슛    담장 넘어갔다 공 주워와라,2025-07-08T12:12:49Z,807 새로운 대기권돌파슛 담장 넘어갔다 공 주워와라
국대 선수들 정말 수고 많으셨어요! 이 댓글 보고 조금이라도 힘 얻었으면 좋겠네요,2025-07-08T12:10:39Z,국대 선수들 정말 수고 많으셨어요 댓글 보고 조금이라도 힘 얻었으면 좋겠네요
한국은 곧 중국이될것이다 하나의 중국!,2025-07-08T12:10:04Z,한국은 중국이될것이다 하나의 중국
6:11 아오 문선민이 넣었어야지 중국 개빡치게,2025-07-08T12:08:07Z,611 아오 문선민이 넣었어야지 중국 개빡치게
김문환 크로스 능력 별로임... 멀리서 올리는 크로스가 들어갈 확률은 낮음 좀 가까이 파고 드는 노력좀해야함,2025-07-08T12:07:37Z,김문환 크로스 능력 별로임 멀리서 올리는 크로스가 들어갈 확률은 낮음 가까이 파고 드는 노력좀해야함
어디서 한거죠? 관중이 텅텅 비었네...,2025-07-08T12:06:01Z,어디서 한거죠 관중이 텅텅 비었네
제2의손흥민은 안보이네,2025-07-08T12:05:33Z,제2의손흥민은 안보이네
"컷백 왜케 못하냐 ㅋㅋㅋ 중국상대로 ;;;;
날려먹은게 몇개고......",2025-07-08T12:05:10Z,컷백 왜케 못하냐 ㅋㅋㅋ 중국상대로 날려먹은게 몇개고
국대경기 옛날에는 진짜 챙겨봤는데 우리 국민들 눈을 올려버린 갓흥민 떄문에 다들 해축의 수준에 빠져버림ㅋㅋㅋㅋㅋ,2025-07-08T12:04:53Z,국대경기 옛날에는 진짜 챙겨봤는데 국민들 눈을 올려버린 갓흥민 떄문에 다들 해축의 수준에 빠져버림ㅋㅋㅋㅋㅋ
홍명보 진짜 보기 싫은데....,2025-07-08T12:04:41Z,홍명보 진짜 보기 싫은데
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ점점퇴화하네 실력이,2025-07-08T12:02:50Z,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ점점퇴화하네 실력이
"중국은 진짜 너무못한다~~
초 심각~~~시진핑이 아예 관심이 없네~~~",2025-07-08T12:02:40Z,중국은 진짜 너무못한다 초 심각시진핑이 아예 관심이 없네
"중국은 근데 진짜 답이없긴 하구나. 수비 라인도 안맞고 골문앞에서 순발력도 부족해 , 공간 커버도 못해 등등 헛점을 말하자면 한두가지가 아니구만... 이런 팀이랑 축구하는건 월드컵 본무대에서 경쟁력 쌓는데에  별 도움이 안돼.",2025-07-08T12:01:51Z,중국은 근데 진짜 답이없긴 수비 라인도 안맞고 골문앞에서 순발력도 부족해 공간 커버도 못해 헛점을 한두가지가 아니구만 팀이랑 축구하는건 월드컵 본무대에서 경쟁력 쌓는데에 별 도움이 안돼
중국 딱 2%부족하내......,2025-07-08T12:01:08Z,중국 2부족하내
욕봤다,2025-07-08T11:59:59Z,욕봤다
축구가 더이상 재미없다,2025-07-08T11:59:32Z,축구가 더이상 재미없다
"졌네? ㅋㅋㅋㅋ 몇골을 놓치는건데?
그냥 중국이 이겼으면 좋겠네",2025-07-08T11:59:08Z,졌네 ㅋㅋㅋㅋ 몇골을 놓치는건데 그냥 중국이 이겼으면 좋겠네
6:49 이태석은 옆에서 보니까 딱 자기 아버지다 ㅋㅋㅋ,2025-07-08T11:58:09Z,649 이태석은 옆에서 보니까 아버지다 ㅋㅋㅋ
멍보 속의 작은 아이는 지금 뭐하고 있나?,2025-07-08T11:54:29Z,멍보 속의 작은 아이는 지금 뭐하고 있나
10번 존나 ㅇ못하네,2025-07-08T11:50:48Z,10번 존나 ㅇ못하네
영상 제목이 잘못된거 같은데 중국vs중국 아닌가요?,2025-07-08T11:50:08Z,영상 제목이 잘못된거 같은데 중국vs중국 아닌가요
아시아의 현실..을 가장잘보여준,2025-07-08T11:48:18Z,아시아의 현실을 가장잘보여준
오 도쿄리 다시 국대 돌아왔구나!! 도쿄리 U-20때 진짜 잘한다고 생각했는데,2025-07-08T11:47:26Z,도쿄리 다시 국대 돌아왔구나 도쿄리 u20때 진짜 잘한다고 생각했는데
4:18 이운재 살빠져서 중국갔나?,2025-07-08T11:47:20Z,418 이운재 살빠져서 중국갔나
리짜이밍이 전승절 가면 시진핑한테 조인트 까이겠네,2025-07-08T11:47:02Z,리짜이밍이 전승절 가면 시진핑한테 조인트 까이겠네
결정력도 문제인데 문전에서 주는 패스가 존나 답답하다. 진짜 저렇게  기회 다 만들어놓고도 마지막 패스를 개같이 주니까 저걸 어떻게 슈팅 때리라고 주는건지...,2025-07-08T11:45:59Z,결정력도 문제인데 문전에서 주는 패스가 존나 답답하다 진짜 저렇게 기회 다 만들어놓고도 마지막 패스를 개같이 주니까 저걸 슈팅 때리라고 주는건지
수고하셨습니다~ 대한민국 축구 화이팅,2025-07-08T11:45:29Z,수고하셨습니다 대한민국 축구 화이팅
해설 나만 오글거림?,2025-07-08T11:44:36Z,해설 나만 오글거림
이동경 골 저건 키퍼가 돈나룸마였어도 못막는 골이다,2025-07-08T11:44:03Z,이동경 골 저건 키퍼가 돈나룸마였어도 못막는 골이다
이동경 세금면제 2개월,2025-07-08T11:43:36Z,이동경 세금면제 2개월
와 ㅅㅂ 졸라덥겠다,2025-07-08T11:41:42Z,ㅅㅂ 졸라덥겠다
이재명 졌네 ㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T11:41:28Z,이재명 졌네 ㅋㅋㅋㅋㅋㅋㅋ
1군멤버가6명이나 있는데 이번엔 3군 전력인 일본 박살내겠지..,2025-07-08T11:41:25Z,1군멤버가6명이나 있는데 이번엔 3군 전력인 일본 박살내겠지
해외파들이 안뛰는 국대경기를 안보게될줄이야...하이라이트도 그냥 k리그보는줄 ㅋ,2025-07-08T11:41:05Z,해외파들이 안뛰는 국대경기를 안보게될줄이야하이라이트도 그냥 k리그보는줄 ㅋ
이동경의 첫골은 손흥민의 그것을 연상되게 하는 통쾌한 골이 었네요. 멋있다. 이동경!!~,2025-07-08T11:39:34Z,이동경의 첫골은 손흥민의 그것을 연상되게 하는 통쾌한 골이 었네요 멋있다 이동경
K리그 선수들 자랑스럽다.,2025-07-08T11:38:52Z,k리그 선수들 자랑스럽다
이동경대타로이강인써라 ㅋㅋ,2025-07-08T11:38:36Z,이동경대타로이강인써라 ㅋㅋ
중국은 수치다. 그냥 땅을 전세계에 나눠줘라,2025-07-08T11:37:57Z,중국은 수치다 그냥 땅을 전세계에 나눠줘라
박문성 OUT,2025-07-08T11:37:25Z,박문성 out
잘 보고 갑니다.,2025-07-08T11:37:05Z,잘 보고 갑니다
좌파 OUT,2025-07-08T11:36:47Z,좌파 out
09:56 이동경 뭐하냐 ㅋㅋ 나쁜손 뭔데? 쇼트랙 판커신 나쁜손 저리가라네ㅋㅋㅋㅋ 예쁜 아내 있으면 다야? 부럽긴 해,2025-07-08T11:34:37Z,0956 이동경 뭐하냐 ㅋㅋ 나쁜손 뭔데 쇼트랙 판커신 나쁜손 저리가라네ㅋㅋㅋㅋ 예쁜 아내 있으면 다야 부럽긴 해
축구했었네? .ㅋㅋㅋㅋ,2025-07-08T11:34:17Z,축구했었네 ㅋㅋㅋㅋ
중국은 한국의 속국이지,2025-07-08T11:33:25Z,중국은 한국의 속국이지
아니 근데 솔직히 이대회를 왜하는거냐 ㅋㅋㅋㅋㅋㅋ 동아시안컵? 뭔의미야 ㅋㅋㅋㅋ 이겨도 져도 똥싸다만 ㅈ같음 인데... 고만하자.  의미없고 흥행 없다.,2025-07-08T11:33:05Z,근데 솔직히 이대회를 왜하는거냐 ㅋㅋㅋㅋㅋㅋ 동아시안컵 뭔의미야 ㅋㅋㅋㅋ 이겨도 져도 똥싸다만 ㅈ같음 인데 고만하자 의미없고 흥행 없다
축구이기면 머하노 나라가 중국에 먹히게 생겼는데 홍콩2.0 인데 한국 깨어나라,2025-07-08T11:33:04Z,축구이기면 머하노 나라가 중국에 먹히게 생겼는데 홍콩20 인데 한국 깨어나라
한민족끼리왜싸우죠?? 셰셰하시죠,2025-07-08T11:32:41Z,한민족끼리왜싸우죠 셰셰하시죠
홍명보 아직 감독이가 쯧쯧,2025-07-08T11:32:06Z,홍명보 아직 감독이가 쯧쯧
*축협회장 아웃 조용한것 보소 ㅋㅋㅋㅋ*,2025-07-08T11:31:47Z,축협회장 아웃 조용한것 보소 ㅋㅋㅋㅋ
요즘 국대 선수 얼굴만 대충 보면 대성할지 어떨지 보이네.,2025-07-08T11:31:05Z,요즘 국대 선수 얼굴만 대충 보면 대성할지 어떨지 보이네
제발 선수들의 땀이 의미없어지지 않게 정몽규 홍명보 사퇴하라 윤석열 김건희 같은 적폐다. 그자들이 있는한 월컵 16강 가서 뭐하냐,2025-07-08T11:29:33Z,제발 선수들의 땀이 의미없어지지 않게 정몽규 홍명보 사퇴하라 윤석열 김건희 같은 적폐다 그자들이 있는한 월컵 16강 가서 뭐하냐
분명 한쪽은 지고 한쪽은 이겼는데 양쪽 시청자들 모두 짜증나는 경기ㅋㅋㅋ,2025-07-08T11:29:15Z,분명 한쪽은 지고 한쪽은 이겼는데 양쪽 시청자들 짜증나는 경기ㅋㅋㅋ
선수들이 불쌍하다 저리 열심히 뛰는데열기는 단 2명때문에 사람들이 관심은 안가짐...,2025-07-08T11:24:21Z,선수들이 불쌍하다 저리 열심히 뛰는데열기는 단 2명때문에 사람들이 관심은 안가짐
이젠 같은나라 아닌가요?,2025-07-08T11:23:50Z,같은나라 아닌가요
"대한민국 탈중국화 해야되는데, 엄한넘 만나서 중국화 되는중... 이세대마지막 경기일거라 생각된다.",2025-07-08T11:23:12Z,대한민국 탈중국화 해야되는데 엄한넘 만나서 중국화 되는중 이세대마지막 경기일거라 생각된다
골퍼스트 앞에서 왤케 머뭇거리냐,2025-07-08T11:22:36Z,골퍼스트 왤케 머뭇거리냐
아직 안봤는데 니들은 중국한테지면 진짜 디진다,2025-07-08T11:22:21Z,아직 안봤는데 니들은 중국한테지면 진짜 디진다
"K리그 자주 보는 사람으로써
k리그 선수들 많이 나와서
잘하는거 보니까 기분좋네",2025-07-08T11:21:56Z,k리그 자주 보는 사람으로써 k리그 선수들 많이 나와서 잘하는거 보니까 기분좋네
축구 하는줄 몰랐습니다.,2025-07-08T11:21:41Z,축구 하는줄 몰랐습니다
✋,2025-07-08T11:21:13Z,
솔직히 중국국대는 우리나라 u20선에서 끝나는 경기력이었음,2025-07-08T11:15:49Z,솔직히 중국국대는 우리나라 u20선에서 끝나는 경기력이었음
이 더운데 어디서...경기,2025-07-08T11:15:30Z,더운데 어디서경기
독재 대통령~독재 축협 ..양국의 공산주의 국가에서 선수로 뛰고 있는 선수들에게 박수를 보냅니다,2025-07-08T11:11:00Z,독재 대통령독재 축협 양국의 공산주의 국가에서 선수로 뛰고 있는 선수들에게 박수를 보냅니다
"*요즘 축구에 대한 흥미가 점점 줄어드는 것 같아 답답한 마음이 드는 요즘인데, 나 역시 과거에 열정이 넘치던 축구를 그리워하며 그래서 더욱 아쉬운 마음이 커지고 있습니다 저런 경기가 있다는 것을 전혀 몰랐던 것이 무척 안타깝게 느껴집니다*",2025-07-08T11:07:30Z,요즘 축구에 대한 흥미가 점점 줄어드는 같아 답답한 마음이 드는 요즘인데 역시 과거에 열정이 넘치던 축구를 그리워하며 더욱 아쉬운 마음이 커지고 있습니다 저런 경기가 있다는 것을 전혀 몰랐던 것이 무척 안타깝게 느껴집니다
국대 축구는 하이라이트로 보는게 맞다,2025-07-08T11:07:10Z,국대 축구는 하이라이트로 보는게 맞다
중국 얘네들은 어지간히도 축구 드럽게 못하네 ㅋㅋㅋㅋㅋㅋ 왜 인구가 저렇게 많은데도 못할수가 있지 신기하다 참,2025-07-08T11:06:20Z,중국 얘네들은 어지간히도 축구 드럽게 못하네 ㅋㅋㅋㅋㅋㅋ 인구가 저렇게 많은데도 못할수가 있지 신기하다
"더운데 고생많으셨어요
골 결정력만 좋았으면 더 좋았을텐데 
다음 경기는 열심히 준비해서 좋은 모습 보여주세요",2025-07-08T11:05:52Z,더운데 고생많으셨어요 골 결정력만 좋았으면 더 좋았을텐데 경기는 열심히 준비해서 좋은 모습 보여주세요
한국 축구 너무 못하네 ....3:0이 머고중국야들 걸어다니는데...,2025-07-08T11:05:27Z,한국 축구 너무 못하네 30이 머고중국야들 걸어다니는데
이겨도 져도 화난 그 분들 ㅋㅋ심술나서 보이는게 웃음벨이네,2025-07-08T11:02:25Z,이겨도 져도 화난 분들 ㅋㅋ심술나서 보이는게 웃음벨이네
아니 좀 공간 나오면 과감하게 때리면 안 되냐?? 무지성 크로스 전술에 운 좋아서 골이 들어가네 ㅋㅋ;; 성적 내고 있다고? 전술이 처음부터 끝까지 무지성 크로스가 8할인데 못 막는 상대가 아래 클래스라고 판단 안 들음? 특히 8:44 이 장면은 진짜 얼척이 터지네 왼쪽에서 그냥 그 스피드 살려서 침투를 해야지 쳐 뛰다가 걷다가 크로스 나오니 다시 뛰는 건 뭔 경우? 전술도 전술이다만 개개인의 순간 판단 능력도 어느정도 가지고 임했으면;; 진짜 속 뒤집어 지겠네 보는데,2025-07-08T11:00:34Z,공간 나오면 과감하게 때리면 안 되냐 무지성 크로스 전술에 운 좋아서 골이 들어가네 ㅋㅋ 성적 내고 있다고 전술이 처음부터 끝까지 무지성 크로스가 8할인데 못 막는 상대가 아래 클래스라고 판단 안 들음 특히 844 장면은 진짜 얼척이 터지네 왼쪽에서 그냥 스피드 살려서 침투를 해야지 쳐 뛰다가 걷다가 크로스 나오니 다시 뛰는 건 뭔 경우 전술도 전술이다만 개개인의 순간 판단 능력도 어느정도 가지고 임했으면 진짜 속 뒤집어 지겠네 보는데
아~ 홍명보 보기 싫어...,2025-07-08T10:59:16Z,홍명보 보기 싫어
아니 중국은 누가와도 못한다니까?ㅋㅋㅋㅋ 감독 그만 데려왘ㅋㅋㅋㅌㅌ,2025-07-08T10:59:10Z,중국은 누가와도 못한다니까ㅋㅋㅋㅋ 감독 그만 데려왘ㅋㅋㅋㅌㅌ
중국 져서 1찍이들 화났노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T10:58:45Z,중국 져서 1찍이들 화났노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
감독과 축협회장 아웃!!!,2025-07-08T10:57:35Z,감독과 축협회장 아웃
5:37 관제탑 세레머니 안할려고 일부로 슈팅 안했다.,2025-07-08T10:56:31Z,537 관제탑 세레머니 안할려고 일부로 슈팅 안했다
"저  더위에  선수들  간절하게 뛰네요~~
대단합니다~~~",2025-07-08T10:54:52Z,더위에 선수들 간절하게 뛰네요 대단합니다
홍보좀해 . 하는줄도몰랐네,2025-07-08T10:54:38Z,홍보좀해 하는줄도몰랐네
잉 ㄷㄷ 관중 텅 비었노,2025-07-08T10:52:42Z,잉 ㄷㄷ 관중 텅 비었노
이동경의 왼발은 낭만이 있다.,2025-07-08T10:50:44Z,이동경의 왼발은 낭만이
"이건 또 언제한거냐…
요즘 국대경기 있다는것조차 모르겠네",2025-07-08T10:49:56Z,이건 언제한거냐 요즘 국대경기 있다는것조차 모르겠네
몽명규보 아웃,2025-07-08T10:49:48Z,몽명규보 아웃
주민규 잘했어요,2025-07-08T10:48:54Z,주민규 잘했어요
홍명보 호 보다 좋은시절은 히딩크,2025-07-08T10:45:35Z,홍명보 호 보다 좋은시절은 히딩크
꼴 보기 싫다 정몽규 홍명보 선수들이 안타깝다,2025-07-08T10:43:08Z,꼴 보기 싫다 정몽규 홍명보 선수들이 안타깝다
비추 존나 먹을거 같긴한데 이번 짱깨 유니폼 잘뽑인거 같지 않음?,2025-07-08T10:42:59Z,비추 존나 먹을거 같긴한데 짱깨 유니폼 잘뽑인거 같지 않음
주민규 헤리케인임??,2025-07-08T10:42:55Z,주민규 헤리케인임
이동경 놓친게 몇개야? 발이 세몬가?,2025-07-08T10:42:31Z,이동경 놓친게 몇개야 발이 세몬가
저 대머리는 누군지 진짜 못하네. 해외파 선수는 안보이는듯,2025-07-08T10:41:21Z,대머리는 누군지 진짜 못하네 해외파 선수는 안보이는듯
참 깝깝하다,2025-07-08T10:40:55Z,깝깝하다
벤투가 국대인기 올려놨는데 그인기를 한번에 조져놨네ㅋㅋㅋ대단한 능력이다,2025-07-08T10:40:46Z,벤투가 국대인기 올려놨는데 그인기를 한번에 조져놨네ㅋㅋㅋ대단한 능력이다
날씨를 생각해라 얘들아;;,2025-07-08T10:40:19Z,날씨를 생각해라 얘들아
찢은 누구응원함??,2025-07-08T10:40:04Z,찢은 누구응원함
영상은 됐고 댓글보러 옴,2025-07-08T10:40:05Z,영상은 됐고 댓글보러 옴
"예쁘고 안전하게, 완벽한 기회만 노리려는 축구 보다가 이번 같은 선 굵고 빠른템포 축구 보니까 넘 재밌다 경기가… 
울 나라는 이렇게 하는 게
잘 어울림.. 
미드필더, 포워드 몇 명 바뀌니까 템포 확 살고 시원시원하니 좋네유",2025-07-08T10:39:59Z,예쁘고 안전하게 완벽한 기회만 노리려는 축구 보다가 같은 선 굵고 빠른템포 축구 보니까 넘 재밌다 경기가 울 나라는 이렇게 하는 게 잘 어울림 미드필더 포워드 명 바뀌니까 템포 확 살고 시원시원하니 좋네유
이야.. 일본이랑 했으면 7~8골은 넣었겠네,2025-07-08T10:39:19Z,이야 일본이랑 했으면 78골은 넣었겠네
"ㅋㅋㅋㅋ어이가 없는게 중국 니들 원래 다 못 이기는데, 한국한테만 지면 난리야ㅋㅋㅋㅋㅋㅋ 만만하냐?? 확 그냥. 중국은 그냥 세계 악이고, 한국인으로 중국 좋아하는 건 제정신 아니다",2025-07-08T10:37:33Z,ㅋㅋㅋㅋ어이가 없는게 중국 니들 원래 다 못 이기는데 한국한테만 지면 난리야ㅋㅋㅋㅋㅋㅋ 만만하냐 확 그냥 중국은 그냥 세계 악이고 한국인으로 중국 좋아하는 건 제정신 아니다
홍명보 보기 싫다,2025-07-08T10:36:22Z,홍명보 보기 싫다
4:36 이거 고의로 넘어뜨린거아니냐 안아서 넘어뜨린거같은데 경고안주네,2025-07-08T10:36:17Z,436 이거 고의로 넘어뜨린거아니냐 안아서 넘어뜨린거같은데 경고안주네
전반 20분만에 2:0인걸 보고 5:0이상으로 이길 절호의 기회였는데,2025-07-08T10:33:17Z,전반 20분만에 20인걸 보고 50이상으로 이길 절호의 기회였는데
대한민국 파이팅!,2025-07-08T10:31:22Z,대한민국 파이팅
제발 쪼꼬미좀 대표좀 시켜줘라,2025-07-08T10:30:59Z,제발 쪼꼬미좀 대표좀 시켜줘라
체력 훈련좀 해라,2025-07-08T10:30:17Z,체력 훈련좀 해라
"더운날씨, 오버할 필요는 없죠. 어차피 이기는 경기, 체력 아끼는게 좋죠.",2025-07-08T10:29:27Z,더운날씨 오버할 필요는 없죠 어차피 이기는 경기 체력 아끼는게 좋죠
홍명보 욕하는 애들중에 왜 욕하는지도 모르는 애들이 절반이고 지금 국대 성적 손에 꼽을정도로 좋은성적내고 있는데 현실을 안보고 이 악물고 홍명보 때문에 월드컵은 망했다. 지면 홍명보탓하고 이기면 선수단이 좋다 이지랄 하는거 보면 진짜 개토나온다 ㅋㅋ 벤투때도 월드컵 전까지 욕만 처하다가 16강 올라오니까 전국민이 태세전환하는 이나라는 글러 처먹음 그냥,2025-07-08T10:28:27Z,홍명보 욕하는 애들중에 욕하는지도 모르는 애들이 절반이고 지금 국대 성적 손에 꼽을정도로 좋은성적내고 있는데 현실을 안보고 악물고 홍명보 월드컵은 망했다 지면 홍명보탓하고 이기면 선수단이 좋다 이지랄 하는거 보면 진짜 개토나온다 ㅋㅋ 벤투때도 월드컵 전까지 욕만 처하다가 16강 올라오니까 전국민이 태세전환하는 이나라는 글러 처먹음 그냥
그리고 문선민 ㅋㅋ춤고민추고좀 볼터치 연습이좀해아 제발 조축보다못하냐 언제까지 국내용소리들을래,2025-07-08T10:27:55Z,문선민 ㅋㅋ춤고민추고좀 볼터치 연습이좀해아 제발 조축보다못하냐 언제까지 국내용소리들을래
"김문환이 왤케
소극적이냐?돌파를 안하네 왜자꾸
백러쉬하는겨 템포다끊어먹네",2025-07-08T10:26:35Z,김문환이 왤케 소극적이냐돌파를 안하네 왜자꾸 백러쉬하는겨 템포다끊어먹네
관중이 k리그 경기같노ㅋ,2025-07-08T10:26:12Z,관중이 k리그 경기같노ㅋ
진짜.리얼...저 치킨집 장사하는데.어제 축구하는줄 몰랐어요.^^ 요즘 뉴스보는 재미에 살다보니.ㅋㅋㅋㅋ,2025-07-08T10:25:38Z,진짜리얼저 치킨집 장사하는데어제 축구하는줄 몰랐어요 요즘 뉴스보는 재미에 살다보니ㅋㅋㅋㅋ
